sr.no,depute geography,depute country,depute Branch,depute datacenter,questions,answer
63,Europe,France,Singapore Office,DC-01,What do you appreciate most about Company?,Strong leadership and clear strategic direction. Thank you. (ref:63)
64,Africa,Egypt,Pune Office,DC-06,Strength of Company,Aprecio a cultura colaborativa e as oportunidades de crescimento. Más inversión en herramientas y automatización ayudaría. Danke! (ref:64)
65,Oceania,New Zealand,Toronto Branch,Cloud-Africa,Where can team support be improved,在工具和自动化方面投入更多会有帮助。 Más inversión en herramientas y automatización ayudaría. (ref:65)
66,Oceania,New Zealand,Cape Town Hub,DC-05,Strength of Company,Liderazgo fuerte y dirección estratégica clara. 明確なSLAと迅速な対応でチームのサポートを改善できます。 (ref:66)
67,North America,Mexico,São Paulo Unit,DC-05,Where can team support be improved,Starke Führung und klare strategische Ausrichtung. (ref:67)
68,South America,Chile,Paris Office,DC-02,Strength of Company,強力なリーダーシップと明確な戦略的方向性。 (ref:68)
69,Oceania,Australia,Tokyo Hub,Cloud-West,Where can team support be improved,Más inversión en herramientas y automatización ayudaría. (ref:69)
70,Europe,United Kingdom,Beijing Center,DC-07,What do you appreciate most about Company?,明確なSLAと迅速な対応でチームのサポートを改善できます。 ツールと自動化への投資を増やすと良いでしょう。 (ref:70)
71,Asia,China,New York Branch,Cloud-West,Where can team support be improved,通过更清晰的服务级别协议和更快的响应可以改善团队支持。 (ref:71)
72,Africa,Nigeria,Cape Town Hub,DC-04,Areas of improvement,I appreciate the collaborative culture and growth opportunities. (ref:72)
73,Oceania,New Zealand,Seoul Office,DC-03,Where can team support be improved,Team support could be improved by clearer SLAs and faster responses. 在工具和自动化方面投入更多会有帮助。 Danke! (ref:73)
74,Africa,South Africa,Tokyo Hub,Cloud-West,Strength of Company,会社の協力的な文化と成長の機会を評価しています。 Me gusta el ambiente de trabajo colaborativo y las oportunidades de crecimiento. (ref:74)
75,South America,Argentina,Cape Town Hub,Cloud-East,Areas of improvement,強力なリーダーシップと明確な戦略的方向性。 (ref:75)
76,North America,Canada,Sydney Office,DC-02,Where can team support be improved,在工具和自动化方面投入更多会有帮助。 よろしくお願いします。 (ref:76)
77,Europe,Germany,Toronto Branch,DC-01,What do you appreciate most about Company?,J'apprécie la culture collaborative et les opportunités de développement. I appreciate the collaborative culture and growth opportunities. (ref:77)
78,Europe,France,Cape Town Hub,DC-02,Strength of Company,Liderazgo fuerte y dirección estratégica clara. (ref:78)
79,Europe,Italy,Mumbai Office,DC-02,Strength of Company,Aprecio a cultura colaborativa e as oportunidades de crescimento. ツールと自動化への投資を増やすと良いでしょう。 I appreciate the collaborative culture and growth opportunities. (ref:79)
80,Africa,Egypt,Beijing Center,DC-04,What do you appreciate most about Company?,El apoyo del equipo podría mejorar con SLAs más claros y respuestas más rápidas. (ref:80)
81,Oceania,New Zealand,Sydney Office,DC-07,What do you appreciate most about Company?,ツールと自動化への投資を増やすと良いでしょう。 (ref:81)
82,South America,Peru,Beijing Center,Cloud-East,What do you appreciate most about Company?,Liderança forte e direção estratégica clara. Danke! (ref:82)
83,North America,USA,Beijing Center,Cloud-East,Where can team support be improved,More investment in tooling and automation would help. Obrigado. (ref:83)
84,Oceania,New Zealand,Mumbai Office,DC-06,Where can team support be improved,通过更清晰的服务级别协议和更快的响应可以改善团队支持。 (ref:84)
85,South America,Argentina,Sydney Office,DC-02,Areas of improvement,Strong leadership and clear strategic direction. 明確なSLAと迅速な対応でチームのサポートを改善できます。 (ref:85)
86,Africa,Egypt,Madrid Office,DC-01,Where can team support be improved,会社の協力的な文化と成長の機会を評価しています。 Mehr Investitionen in Tools und Automatisierung wären hilfreich. (ref:86)
87,South America,Chile,New York Branch,DC-07,Areas of improvement,Mais investimento em ferramentas e automação ajudaria. (ref:87)
88,Asia,Japan,Seoul Office,Cloud-West,Where can team support be improved,Strong leadership and clear strategic direction. (ref:88)
89,Oceania,New Zealand,Cape Town Hub,DC-01,What do you appreciate most about Company?,強力なリーダーシップと明確な戦略的方向性。 (ref:89)
90,South America,Peru,Madrid Office,Cloud-Africa,Areas of improvement,通过更清晰的服务级别协议和更快的响应可以改善团队支持。 (ref:90)
91,South America,Colombia,New York Branch,DC-05,Areas of improvement,通过更清晰的服务级别协议和更快的响应可以改善团队支持。 Gracias. (ref:91)
92,Oceania,Australia,São Paulo Unit,DC-04,Where can team support be improved,ツールと自動化への投資を増やすと良いでしょう。 (ref:92)
93,Africa,Kenya,Tokyo Hub,DC-04,Areas of improvement,会社の協力的な文化と成長の機会を評価しています。 (ref:93)
94,Oceania,Australia,New York Branch,DC-01,What do you appreciate most about Company?,O suporte da equipe pode ser melhorado com SLAs mais claros e respostas mais rápidas。 (ref:94)
95,Oceania,New Zealand,Tokyo Hub,DC-01,Areas of improvement,Más inversión en herramientas y automatización ayudaría. (ref:95)
96,Asia,China,Sydney Office,Cloud-Africa,What do you appreciate most about Company?,強力なリーダーシップと明確な戦略的方向性。 Mehr Investitionen in Tools und Automatisierung wären hilfreich. Thank you. (ref:96)
97,Oceania,Australia,Berlin Branch,DC-03,Areas of improvement,Strong leadership and clear strategic direction. Danke! (ref:97)
98,Africa,Nigeria,Toronto Branch,DC-06,Where can team support be improved,Más inversión en herramientas y automatización ayudaría. (ref:98)
99,Africa,Egypt,New York Branch,DC-07,What do you appreciate most about Company?,通过更清晰的服务级别协议和更快的响应可以改善团队支持。 谢谢。 (ref:99)
100,Oceania,Australia,New York Branch,DC-02,Strength of Company,在工具和自动化方面投入更多会有帮助。 Gracias. (ref:100)
101,North America,Canada,Seoul Office,DC-07,Where can team support be improved,Strong leadership and clear strategic direction. (ref:101)
102,South America,Colombia,Tokyo Hub,DC-04,Areas of improvement,El apoyo del equipo podría mejorar con SLAs más claros y respuestas más rápidas. (ref:102)
103,Europe,United Kingdom,Tokyo Hub,DC-06,Strength of Company,Liderazgo fuerte y dirección estratégica clara. (ref:103)
104,Asia,India,Berlin Branch,DC-05,Areas of improvement,Más inversión en herramientas y automatización ayudaría. (ref:104)
105,Oceania,New Zealand,New York Branch,DC-06,Where can team support be improved,Team support could be improved by clearer SLAs and faster responses. Danke! (ref:105)
106,Oceania,New Zealand,Mumbai Office,DC-05,What do you appreciate most about Company?,Die Teamunterstützung könnte durch klarere SLAs und schnellere Reaktionen verbessert werden。 (ref:106)
107,Africa,South Africa,Toronto Branch,DC-05,What do you appreciate most about Company?,会社の協力的な文化と成長の機会を評価しています。 (ref:107)
108,Oceania,New Zealand,New York Branch,DC-03,Where can team support be improved,Mehr Investitionen in Tools und Automatisierung wären hilfreich. (ref:108)
109,North America,Canada,Beijing Center,Cloud-East,Areas of improvement,会社の協力的な文化と成長の機会を評価しています。 (ref:109)
110,Oceania,New Zealand,New York Branch,Cloud-West,What do you appreciate most about Company?,Liderança forte e direção estratégica clara. (ref:110)
111,Asia,Singapore,Sydney Office,DC-06,What do you appreciate most about Company?,在工具和自动化方面投入更多会有帮助。 (ref:111)
112,Asia,Japan,Paris Office,Cloud-East,Where can team support be improved,明確なSLAと迅速な対応でチームのサポートを改善できます。 よろしくお願いします。 (ref:112)
113,Africa,Nigeria,New York Branch,Cloud-Africa,Where can team support be improved,El apoyo del equipo podría mejorar con SLAs más claros y respuestas más rápidas. (ref:113)
114,Europe,France,New York Branch,DC-06,What do you appreciate most about Company?,Ich schätze die kollaborative Kultur und die Entwicklungsmöglichkeiten. (ref:114)
115,Asia,Singapore,Tokyo Hub,DC-03,Where can team support be improved,Starke Führung und klare strategische Ausrichtung. Mais investimento em ferramentas e automação ajudaria. (ref:115)
116,North America,Canada,Cape Town Hub,DC-04,Where can team support be improved,強力なリーダーシップと明確な戦略的方向性。 Obrigado. (ref:116)
117,Africa,Nigeria,Sydney Office,DC-02,Areas of improvement,More investment in tooling and automation would help. (ref:117)
118,Africa,Kenya,Sydney Office,DC-01,Areas of improvement,ツールと自動化への投資を増やすと良いでしょう。 (ref:118)
119,Oceania,New Zealand,Sydney Office,DC-03,Where can team support be improved,强有力的领导和明确的战略方向。 (ref:119)
120,Africa,Egypt,Cape Town Hub,Cloud-East,Strength of Company,Strong leadership and clear strategic direction. ツールと自動化への投資を増やすと良いでしょう。 強力なリーダーシップと明確な戦略的方向性。 (ref:120)
121,North America,USA,Madrid Office,Cloud-Africa,Where can team support be improved,Die Teamunterstützung könnte durch klarere SLAs und schnellere Reaktionen verbessert werden。 (ref:121)
122,Oceania,Australia,Cape Town Hub,DC-01,Strength of Company,ツールと自動化への投資を増やすと良いでしょう。 (ref:122)
123,Asia,Singapore,Tokyo Hub,DC-06,Where can team support be improved,我很欣赏公司的协作文化和职业发展机会。 (ref:123)
124,Oceania,Australia,Tokyo Hub,Cloud-Africa,Areas of improvement,O suporte da equipe pode ser melhorado com SLAs mais claros e respostas mais rápidas。 (ref:124)
125,Asia,China,Sydney Office,DC-06,Where can team support be improved,El apoyo del equipo podría mejorar con SLAs más claros y respuestas más rápidas. O suporte da equipe pode ser melhorado com SLAs mais claros e respostas mais rápidas。 明確なSLAと迅速な対応でチームのサポートを改善できます。 (ref:125)
126,Africa,South Africa,Mumbai Office,DC-02,Strength of Company,Starke Führung und klare strategische Ausrichtung. (ref:126)
127,Oceania,Australia,Beijing Center,DC-02,What do you appreciate most about Company?,O suporte da equipe pode ser melhorado com SLAs mais claros e respostas mais rápidas。 (ref:127)
128,Asia,India,Madrid Office,DC-01,Areas of improvement,More investment in tooling and automation would help. Obrigado. (ref:128)
129,North America,Mexico,Singapore Office,DC-03,Strength of Company,Team support could be improved by clearer SLAs and faster responses. (ref:129)
130,Africa,Nigeria,Cape Town Hub,DC-07,Strength of Company,El apoyo del equipo podría mejorar con SLAs más claros y respuestas más rápidas. (ref:130)
131,South America,Brazil,Toronto Branch,Cloud-Africa,Areas of improvement,会社の協力的な文化と成長の機会を評価しています。 よろしくお願いします。 (ref:131)
132,Africa,Kenya,Singapore Office,Cloud-West,Areas of improvement,Starke Führung und klare strategische Ausrichtung. Danke! (ref:132)
133,North America,USA,São Paulo Unit,Cloud-West,Areas of improvement,O suporte da equipe pode ser melhorado com SLAs mais claros e respostas mais rápidas。 (ref:133)
134,Oceania,New Zealand,New York Branch,DC-01,What do you appreciate most about Company?,通过更清晰的服务级别协议和更快的响应可以改善团队支持。 Mehr Investitionen in Tools und Automatisierung wären hilfreich. (ref:134)
135,South America,Argentina,Mumbai Office,Cloud-East,Strength of Company,Team support could be improved by clearer SLAs and faster responses. (ref:135)
136,Oceania,Australia,Singapore Office,DC-02,What do you appreciate most about Company?,Más inversión en herramientas y automatización ayudaría. よろしくお願いします。 (ref:136)
137,Oceania,Australia,Tokyo Hub,DC-05,Areas of improvement,会社の協力的な文化と成長の機会を評価しています。 (ref:137)
138,Africa,Kenya,Paris Office,DC-06,Areas of improvement,Liderazgo fuerte y dirección estratégica clara. Mehr Investitionen in Tools und Automatisierung wären hilfreich. (ref:138)
139,South America,Chile,Toronto Branch,DC-02,Where can team support be improved,我很欣赏公司的协作文化和职业发展机会。 明確なSLAと迅速な対応でチームのサポートを改善できます。 Strong leadership and clear strategic direction. (ref:139)
140,Oceania,New Zealand,Sydney Office,DC-06,Areas of improvement,強力なリーダーシップと明確な戦略的方向性。 Obrigado. (ref:140)
141,Asia,Singapore,Madrid Office,DC-05,Where can team support be improved,强有力的领导和明确的战略方向。 Aprecio a cultura colaborativa e as oportunidades de crescimento. (ref:141)
142,North America,USA,Mumbai Office,DC-06,Areas of improvement,Strong leadership and clear strategic direction. El apoyo del equipo podría mejorar con SLAs más claros y respuestas más rápidas. Danke! (ref:142)
143,Oceania,New Zealand,Singapore Office,Cloud-West,What do you appreciate most about Company?,Me gusta el ambiente de trabajo colaborativo y las oportunidades de crecimiento. (ref:143)
144,North America,USA,Tokyo Hub,DC-04,Strength of Company,强有力的领导和明确的战略方向。 (ref:144)
145,Oceania,New Zealand,Mumbai Office,DC-03,Where can team support be improved,Mehr Investitionen in Tools und Automatisierung wären hilfreich. (ref:145)
146,South America,Brazil,Seoul Office,Cloud-East,Strength of Company,Strong leadership and clear strategic direction. (ref:146)
147,Asia,China,Paris Office,Cloud-East,What do you appreciate most about Company?,J'apprécie la culture collaborative et les opportunités de développement. (ref:147)
148,North America,USA,Singapore Office,DC-04,What do you appreciate most about Company?,Liderança forte e direção estratégica clara. (ref:148)
149,Europe,Italy,São Paulo Unit,DC-02,Strength of Company,Strong leadership and clear strategic direction. (ref:149)
150,Europe,Italy,Pune Office,DC-05,Strength of Company,在工具和自动化方面投入更多会有帮助。 Liderazgo fuerte y dirección estratégica clara. 会社の協力的な文化と成長の機会を評価しています。 Gracias. (ref:150)
151,Europe,Germany,Madrid Office,DC-04,Areas of improvement,Liderazgo fuerte y dirección estratégica clara. Thank you. (ref:151)
152,North America,Mexico,Tokyo Hub,DC-02,Where can team support be improved,强有力的领导和明确的战略方向。 (ref:152)
153,Asia,Singapore,Paris Office,DC-04,What do you appreciate most about Company?,Die Teamunterstützung könnte durch klarere SLAs und schnellere Reaktionen verbessert werden。 (ref:153)
154,North America,Mexico,Pune Office,DC-01,Where can team support be improved,More investment in tooling and automation would help. Die Teamunterstützung könnte durch klarere SLAs und schnellere Reaktionen verbessert werden。 Thank you. (ref:154)
155,North America,USA,Tokyo Hub,Cloud-East,Strength of Company,Liderazgo fuerte y dirección estratégica clara. (ref:155)
156,Africa,Kenya,Beijing Center,DC-07,Areas of improvement,Team support could be improved by clearer SLAs and faster responses. (ref:156)
157,Oceania,Australia,Sydney Office,DC-06,Strength of Company,Strong leadership and clear strategic direction. (ref:157)
158,North America,Canada,Beijing Center,DC-02,Areas of improvement,Die Teamunterstützung könnte durch klarere SLAs und schnellere Reaktionen verbessert werden。 (ref:158)
159,Europe,United Kingdom,Tokyo Hub,DC-02,What do you appreciate most about Company?,Aprecio a cultura colaborativa e as oportunidades de crescimento. (ref:159)
160,South America,Argentina,Paris Office,DC-01,Areas of improvement,More investment in tooling and automation would help. (ref:160)
161,Oceania,New Zealand,Sydney Office,DC-01,Areas of improvement,强有力的领导和明确的战略方向。 Obrigado. (ref:161)
162,Europe,France,Singapore Office,Cloud-Africa,Strength of Company,强有力的领导和明确的战略方向。 在工具和自动化方面投入更多会有帮助。 (ref:162)
163,South America,Peru,São Paulo Unit,Cloud-West,What do you appreciate most about Company?,Die Teamunterstützung könnte durch klarere SLAs und schnellere Reaktionen verbessert werden。 (ref:163)
164,South America,Brazil,Berlin Branch,DC-05,Areas of improvement,强有力的领导和明确的战略方向。 I appreciate the collaborative culture and growth opportunities. 谢谢。 (ref:164)
165,Africa,Egypt,Tokyo Hub,DC-03,What do you appreciate most about Company?,Mais investimento em ferramentas e automação ajudaria. (ref:165)
166,North America,Canada,Madrid Office,DC-03,Areas of improvement,Liderança forte e direção estratégica clara. (ref:166)
167,Africa,South Africa,Pune Office,DC-03,Strength of Company,Me gusta el ambiente de trabajo colaborativo y las oportunidades de crecimiento. (ref:167)
168,South America,Colombia,Singapore Office,Cloud-West,Where can team support be improved,More investment in tooling and automation would help. (ref:168)
169,Africa,South Africa,Madrid Office,Cloud-West,What do you appreciate most about Company?,Die Teamunterstützung könnte durch klarere SLAs und schnellere Reaktionen verbessert werden。 (ref:169)
170,Africa,Kenya,Pune Office,DC-04,Where can team support be improved,Me gusta el ambiente de trabajo colaborativo y las oportunidades de crecimiento. I appreciate the collaborative culture and growth opportunities. J'apprécie la culture collaborative et les opportunités de développement. (ref:170)
171,Europe,France,Toronto Branch,DC-05,Areas of improvement,I appreciate the collaborative culture and growth opportunities. (ref:171)
172,North America,USA,Berlin Branch,Cloud-West,Strength of Company,Die Teamunterstützung könnte durch klarere SLAs und schnellere Reaktionen verbessert werden。 (ref:172)
173,Asia,Singapore,Sydney Office,DC-01,Where can team support be improved,Ich schätze die kollaborative Kultur und die Entwicklungsmöglichkeiten. (ref:173)
174,Africa,Egypt,Mumbai Office,Cloud-West,Where can team support be improved,強力なリーダーシップと明確な戦略的方向性。 よろしくお願いします。 (ref:174)
175,Europe,Italy,Cape Town Hub,Cloud-East,What do you appreciate most about Company?,Aprecio a cultura colaborativa e as oportunidades de crescimento. (ref:175)
176,Africa,Egypt,Paris Office,DC-02,Where can team support be improved,通过更清晰的服务级别协议和更快的响应可以改善团队支持。 Liderança forte e direção estratégica clara. (ref:176)
177,Europe,Germany,Paris Office,DC-02,Strength of Company,强有力的领导和明确的战略方向。 强有力的领导和明确的战略方向。 (ref:177)
178,Oceania,Australia,São Paulo Unit,DC-02,Strength of Company,会社の協力的な文化と成長の機会を評価しています。 (ref:178)
179,Oceania,Australia,Berlin Branch,Cloud-Africa,Where can team support be improved,明確なSLAと迅速な対応でチームのサポートを改善できます。 (ref:179)
180,Oceania,New Zealand,Sydney Office,Cloud-East,Strength of Company,Mehr Investitionen in Tools und Automatisierung wären hilfreich. (ref:180)
181,South America,Chile,Mumbai Office,DC-01,Areas of improvement,Starke Führung und klare strategische Ausrichtung. (ref:181)
182,Asia,India,Madrid Office,DC-05,What do you appreciate most about Company?,Ich schätze die kollaborative Kultur und die Entwicklungsmöglichkeiten. (ref:182)
183,Africa,Egypt,Cape Town Hub,DC-07,What do you appreciate most about Company?,ツールと自動化への投資を増やすと良いでしょう。 (ref:183)
184,South America,Peru,Cape Town Hub,DC-06,Strength of Company,Más inversión en herramientas y automatización ayudaría. Aprecio a cultura colaborativa e as oportunidades de crescimento. Liderança forte e direção estratégica clara. (ref:184)
185,Asia,South Korea,Singapore Office,DC-03,What do you appreciate most about Company?,Más inversión en herramientas y automatización ayudaría. (ref:185)
186,Africa,Nigeria,Madrid Office,Cloud-East,Areas of improvement,明確なSLAと迅速な対応でチームのサポートを改善できます。 (ref:186)
187,Africa,South Africa,Toronto Branch,Cloud-East,What do you appreciate most about Company?,在工具和自动化方面投入更多会有帮助。 (ref:187)
188,South America,Chile,Seoul Office,DC-07,Strength of Company,ツールと自動化への投資を増やすと良いでしょう。 (ref:188)
189,South America,Chile,Singapore Office,Cloud-West,Strength of Company,Ich schätze die kollaborative Kultur und die Entwicklungsmöglichkeiten. (ref:189)
190,North America,Mexico,Toronto Branch,Cloud-East,Strength of Company,通过更清晰的服务级别协议和更快的响应可以改善团队支持。 (ref:190)
191,Africa,South Africa,Singapore Office,Cloud-West,Areas of improvement,Starke Führung und klare strategische Ausrichtung. 谢谢。 (ref:191)
192,South America,Colombia,São Paulo Unit,DC-04,Strength of Company,Starke Führung und klare strategische Ausrichtung. (ref:192)
193,Asia,South Korea,Toronto Branch,DC-06,What do you appreciate most about Company?,明確なSLAと迅速な対応でチームのサポートを改善できます。 (ref:193)
194,Africa,Egypt,Berlin Branch,DC-03,Strength of Company,明確なSLAと迅速な対応でチームのサポートを改善できます。 Team support could be improved by clearer SLAs and faster responses. (ref:194)
195,Europe,United Kingdom,Pune Office,Cloud-West,Areas of improvement,Strong leadership and clear strategic direction. (ref:195)
196,Africa,Kenya,Toronto Branch,Cloud-Africa,Strength of Company,Starke Führung und klare strategische Ausrichtung. (ref:196)
197,North America,USA,Madrid Office,DC-07,Where can team support be improved,Starke Führung und klare strategische Ausrichtung. (ref:197)
